"STATION_ID","Area","Class","WY","Geomean","N"
"CA27","WCA2","Interior",2018,1.68599319481709,8
"CA28","WCA2","Interior",2018,1.78019577930222,6
"CA29","WCA2","Interior",2018,1.51232628624165,7
"CA311","WCA3","Interior",2018,0.947002769098349,9
"CA315","WCA3","Interior",2018,0.800643601870273,9
"CA316","WCA3","Interior",2018,1.34423478676916,10
"CA317","WCA3","Interior",2018,1.38265359932552,11
"CA318","WCA3","Interior",2018,1.12694647774768,9
"CA32","WCA3","Interior",2018,1.35417769549805,6
"CA33","WCA3","Interior",2018,1.45023807704083,5
"CA34","WCA3","Interior",2018,0.8256517751907,7
"CA35","WCA3","Interior",2018,1.1708113171977,5
"CA36","WCA3","Interior",2018,1.2256665538078,3
"CA38","WCA3","Interior",2018,1.10650969992152,7
"ENR012","Refuge","Inflow",2018,1.88495516177964,25
"EP","ENP","Interior",2018,0.885630349400633,7
"G204","WCA3","Inflow",2018,NA,0
"G205","WCA3","Inflow",2018,NA,0
"G206","WCA3","Inflow",2018,NA,0
"G310","Refuge","Inflow",2018,2.2761921576242,23
"G335","WCA2","Inflow",2018,1.75670116457403,19
"G338","Refuge","Inflow",2018,NA,0
"G354C","WCA3","Inflow",2018,1.36412416354785,27
"G393B","WCA3","Inflow",2018,NA,0
"L3BRS","WCA3","Inflow",2018,NA,0
"LOX10","Refuge","Interior",2018,0.665379366792765,7
"LOX11","Refuge","Interior",2018,0.903406341279968,11
"LOX12","Refuge","Interior",2018,0.744606137018833,12
"LOX13","Refuge","Interior",2018,0.891103498588143,12
"LOX14","Refuge","Interior",2018,0.90687472195787,12
"LOX15","Refuge","Interior",2018,1.14553813494766,12
"LOX16","Refuge","Interior",2018,0.661080300771038,12
"LOX3","Refuge","Interior",2018,1.37823715173715,6
"LOX4","Refuge","Interior",2018,1.22444494059857,8
"LOX5","Refuge","Interior",2018,1.24467749024334,7
"LOX6","Refuge","Interior",2018,0.792919685215829,11
"LOX7","Refuge","Interior",2018,0.915300239120605,9
"LOX8","Refuge","Interior",2018,0.946071662963543,9
"LOX9","Refuge","Interior",2018,1.04281131210125,8
"NE1","ENP","Interior",2018,1.06146569083849,9
"NP201","ENP","Interior",2018,0.917785283390739,10
"P33","ENP","Interior",2018,1.12233035482079,10
"P34","ENP","Interior",2018,0.92864726004959,10
"P35","ENP","Interior",2018,1.4028608914669,8
"P36","ENP","Interior",2018,1.14146622209299,10
